"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Congregation Gryff","WG","U","100435","3.44","29814","4.06","159551","86.3%","57.0%","27950","58.0%","36810","57.6%","64760","57.8%","92449","56.3%","1.5pp"
"Doc Aurlock, Grizzled Genius","UG","U","156779","5.72","22597","7.95","60911","46.1%","51.9%","10272","53.8%","15336","52.0%","25608","52.7%","34884","51.2%","1.5pp"
"Eriette, the Beguiler","WUB","R","76539","5.82","9561","8.97","5745","10.2%","51.1%","960","48.4%","1614","56.9%","2574","53.7%","3171","48.9%","4.8pp"
"Ertha Jo, Frontier Mentor","WR","U","135219","4.63","23497","6.23","90848","64.4%","54.4%","14968","55.4%","20734","56.1%","35702","55.8%","55155","53.4%","2.4pp"
"Form a Posse","WR","U","157467","5.47","23292","7.76","73815","53.0%","53.2%","11548","51.3%","17011","55.9%","28559","54.0%","45186","52.7%","1.4pp"
"Ghired, Mirror of the Wilds","WRG","M","23950","3.85","4192","5.08","11128","45.0%","53.3%","1814","51.9%","2479","55.2%","4293","53.8%","6828","53.0%","0.8pp"
"The Gitrog, Ravenous Ride","BG","M","8839","1.52","6390","1.49","36262","92.9%","55.6%","6093","57.9%","9051","61.0%","15144","59.8%","20527","52.1%","7.7pp"
"Honest Rutstein","BG","U","89406","3.14","32817","3.57","172515","86.2%","55.6%","29400","55.4%","42915","60.2%","72315","58.2%","99080","53.6%","4.7pp"
"Intimidation Campaign","UB","U","130685","4.61","29085","5.71","123457","71.9%","52.7%","21065","50.5%","34443","57.2%","55508","54.6%","66967","50.8%","3.8pp"
"Jem Lightfoote, Sky Explorer","WU","U","139621","4.97","20985","6.86","69363","57.1%","50.4%","11455","49.6%","18899","53.0%","30354","51.7%","39032","49.3%","2.4pp"
"Jolene, Plundering Pugilist","RG","U","121994","4.16","24115","5.42","107799","73.9%","54.8%","18595","56.3%","24405","56.2%","43000","56.2%","64769","53.8%","2.4pp"
"Kambal, Profiteering Mayor","WB","R","43967","3.55","9745","4.32","39322","68.1%","53.1%","6565","55.0%","9977","55.9%","16542","55.6%","22768","51.3%","4.2pp"
"Kellan Joins Up","WUG","R","77579","6.03","9455","9.33","2689","4.8%","44.6%","437","","695","43.9%","1132","41.9%","1543","46.5%","-4.7pp"
"Kellan, the Kid","WUG","M","19194","3.23","4779","3.74","16764","60.1%","51.9%","2844","54.2%","4268","56.0%","7112","55.3%","9612","49.3%","6.0pp"
"Kraum, Violent Cacophony","UR","U","139032","5.00","22512","6.69","81156","61.4%","51.5%","13467","52.3%","23165","55.4%","36632","54.2%","44494","49.3%","5.0pp"
"Laughing Jasper Flint","BR","R","21124","1.82","12804","1.79","71565","92.1%","54.5%","12320","58.2%","18215","58.8%","30535","58.5%","40584","51.4%","7.1pp"
"Lazav, Familiar Stranger","UB","U","128201","4.44","26778","5.69","115942","73.8%","52.4%","19792","52.3%","32663","55.9%","52455","54.5%","63279","50.5%","4.0pp"
"Lilah, Undefeated Slickshot","UR","R","57804","4.61","8845","6.33","22957","44.4%","50.6%","3914","52.4%","6570","53.6%","10484","53.2%","12425","48.3%","4.8pp"
"Make Your Own Luck","UG","U","141712","4.82","30229","6.35","121713","67.3%","53.9%","19862","53.4%","31655","57.1%","51517","55.7%","69782","52.5%","3.1pp"
"Malcolm, the Eyes","UR","R","47935","3.95","9412","4.84","34392","61.8%","52.2%","5954","55.8%","9688","56.3%","15642","56.1%","18655","48.7%","7.4pp"
"Marchesa, Dealer of Death","UBR","R","43595","3.56","11255","4.02","43895","66.9%","51.3%","7205","51.6%","12336","55.4%","19541","54.0%","24220","48.9%","5.1pp"
"Miriam, Herd Whisperer","WG","U","102046","3.61","29724","4.13","152484","82.7%","57.1%","26811","60.2%","34241","57.4%","61052","58.6%","91354","56.1%","2.5pp"
"Obeka, Splitter of Seconds","UBR","R","77349","6.07","8834","9.49","1174","2.2%","39.2%","178","","299","","477","","697","40.9%",""
"Oko, the Ringleader","UG","M","8071","1.39","5907","1.37","31958","90.6%","54.3%","5394","57.2%","8229","59.5%","13623","58.6%","18153","50.9%","7.7pp"
"Pillage the Bog","BG","R","63629","4.70","11124","6.56","33656","51.0%","53.5%","5597","50.8%","8407","57.4%","14004","54.7%","19571","52.7%","2.1pp"
"Rakdos Joins Up","BR","R","47622","3.76","8389","4.91","29040","58.8%","52.2%","4591","50.6%","7057","55.8%","11648","53.8%","17273","50.9%","2.8pp"
"Rakdos, the Muscle","BR","M","9297","1.62","6197","1.58","35352","91.9%","56.5%","6003","62.8%","9217","65.0%","15220","64.1%","19695","50.2%","13.9pp"
"Riku of Many Paths","URG","R","70808","5.43","9278","8.12","7729","14.0%","49.1%","1275","45.9%","2098","50.8%","3373","48.9%","4340","49.1%","-0.2pp"
"Roxanne, Starfall Savant","RG","R","19012","1.65","13277","1.62","77657","93.2%","57.6%","13206","63.6%","18854","64.1%","32060","63.9%","44980","53.0%","10.9pp"
"Ruthless Lawbringer","WB","U","135207","4.61","31250","5.77","137171","72.4%","55.5%","22647","55.8%","34808","59.6%","57455","58.1%","79434","53.7%","4.4pp"
"Satoru, the Infiltrator","UB","R","49704","3.97","10119","5.00","34102","57.7%","51.4%","5854","52.9%","9416","54.6%","15270","53.9%","18750","49.2%","4.7pp"
"Selvala, Eager Trailblazer","WG","M","8691","1.48","6384","1.46","36514","92.7%","56.5%","6264","63.6%","8860","61.0%","15124","62.0%","21319","52.5%","9.6pp"
"Seraphic Steed","WG","R","23648","2.05","12898","2.05","72484","89.8%","57.7%","12858","66.1%","16747","60.1%","29605","62.7%","41810","54.0%","8.7pp"
"Slick Sequence","UR","U","160121","5.85","22940","8.12","71116","52.5%","51.9%","11976","52.2%","20467","57.3%","32443","55.4%","38421","48.8%","6.6pp"
"Taii Wakeen, Perfect Shot","WR","R","58752","4.60","9223","6.37","24854","45.1%","53.1%","4410","54.2%","5430","52.1%","9840","53.0%","15024","53.2%","-0.2pp"
"Vial Smasher, Gleeful Grenadier","BR","U","126880","4.56","21111","5.99","86373","69.6%","52.1%","14904","55.8%","20770","53.0%","35674","54.1%","50639","50.7%","3.5pp"
